hotel_name,hotel_slug,check_in_date,check_out_date,nights,guests,rooms,day_offset,availability,total_price,original_price,price_per_night,has_discount,discount_percentage,rating_score,review_count,scrape_timestamp
Thornybush Game Lodge,thornybush-game-lodge,2025-11-28,2025-11-30,2,2,1,30,available,111000.0,,55500.0,False,,,,2025-10-29T16:18:59.800919
Thornybush Game Lodge,thornybush-game-lodge,2025-11-30,2025-12-02,2,2,1,32,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:05.756441
Thornybush Game Lodge,thornybush-game-lodge,2025-12-02,2025-12-04,2,2,1,34,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:11.477246
Thornybush Game Lodge,thornybush-game-lodge,2025-12-04,2025-12-06,2,2,1,36,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:17.071188
Thornybush Game Lodge,thornybush-game-lodge,2025-12-06,2025-12-08,2,2,1,38,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:22.692013
Thornybush Game Lodge,thornybush-game-lodge,2025-12-08,2025-12-10,2,2,1,40,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:28.198045
Thornybush Game Lodge,thornybush-game-lodge,2025-12-10,2025-12-12,2,2,1,42,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:33.933817
Thornybush Game Lodge,thornybush-game-lodge,2025-12-12,2025-12-14,2,2,1,44,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:40.030552
Thornybush Game Lodge,thornybush-game-lodge,2025-12-14,2025-12-16,2,2,1,46,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:46.553546
Thornybush Game Lodge,thornybush-game-lodge,2025-12-16,2025-12-18,2,2,1,48,available,111000.0,,55500.0,False,,,,2025-10-29T16:19:52.696916
Thornybush Game Lodge,thornybush-game-lodge,2025-12-18,2025-12-20,2,2,1,50,sold_out,,,,False,,,,2025-10-29T16:19:58.430005
Thornybush Game Lodge,thornybush-game-lodge,2025-12-20,2025-12-22,2,2,1,52,available,111000.0,,55500.0,False,,,,2025-10-29T16:20:08.648760
Thornybush Game Lodge,thornybush-game-lodge,2025-12-22,2025-12-24,2,2,1,54,sold_out,,,,False,,,,2025-10-29T16:20:14.760674
Thornybush Game Lodge,thornybush-game-lodge,2025-12-24,2025-12-26,2,2,1,56,sold_out,,,,False,,,,2025-10-29T16:20:20.554893
Thornybush Game Lodge,thornybush-game-lodge,2025-12-26,2025-12-28,2,2,1,58,sold_out,,,,False,,,,2025-10-29T16:20:26.478865
Thornybush Game Lodge,thornybush-game-lodge,2025-12-28,2025-12-30,2,2,1,60,sold_out,,,,False,,,,2025-10-29T16:20:32.304689
Thornybush Game Lodge,thornybush-game-lodge,2025-12-30,2026-01-01,2,2,1,62,available,111000.0,,55500.0,False,,,,2025-10-29T16:20:38.671874
Thornybush Game Lodge,thornybush-game-lodge,2026-01-01,2026-01-03,2,2,1,64,available,118800.0,,59400.0,False,,,,2025-10-29T16:20:44.218535
Thornybush Game Lodge,thornybush-game-lodge,2026-01-03,2026-01-05,2,2,1,66,available,118800.0,,59400.0,False,,,,2025-10-29T16:20:50.011906
Thornybush Game Lodge,thornybush-game-lodge,2026-01-05,2026-01-07,2,2,1,68,available,118800.0,,59400.0,False,,,,2025-10-29T16:20:56.719674
Thornybush Game Lodge,thornybush-game-lodge,2026-01-07,2026-01-09,2,2,1,70,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:02.560565
Thornybush Game Lodge,thornybush-game-lodge,2026-01-09,2026-01-11,2,2,1,72,sold_out,,,,False,,,,2025-10-29T16:21:09.319161
Thornybush Game Lodge,thornybush-game-lodge,2026-01-11,2026-01-13,2,2,1,74,sold_out,,,,False,,,,2025-10-29T16:21:16.337135
Thornybush Game Lodge,thornybush-game-lodge,2026-01-13,2026-01-15,2,2,1,76,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:22.090667
Thornybush Game Lodge,thornybush-game-lodge,2026-01-15,2026-01-17,2,2,1,78,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:28.509722
Thornybush Game Lodge,thornybush-game-lodge,2026-01-17,2026-01-19,2,2,1,80,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:34.127791
Thornybush Game Lodge,thornybush-game-lodge,2026-01-19,2026-01-21,2,2,1,82,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:40.252805
Thornybush Game Lodge,thornybush-game-lodge,2026-01-21,2026-01-23,2,2,1,84,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:46.313781
Thornybush Game Lodge,thornybush-game-lodge,2026-01-23,2026-01-25,2,2,1,86,available,118800.0,,59400.0,False,,,,2025-10-29T16:21:52.244988
Thornybush Game Lodge,thornybush-game-lodge,2026-01-25,2026-01-27,2,2,1,88,sold_out,,,,False,,,,2025-10-29T16:21:58.589997
Thornybush Game Lodge,thornybush-game-lodge,2026-01-27,2026-01-29,2,2,1,90,sold_out,,,,False,,,,2025-10-29T16:22:04.479105
Kapama River Lodge,kapama-river-lodge,2025-10-29,2025-10-31,2,2,1,0,sold_out,,,,False,,,,2025-10-29T16:22:15.985434
Kapama River Lodge,kapama-river-lodge,2025-10-31,2025-11-02,2,2,1,2,sold_out,44162.0,,22081.0,False,,,,2025-10-29T16:22:21.674977
Kapama River Lodge,kapama-river-lodge,2025-11-02,2025-11-04,2,2,1,4,sold_out,41324.0,,20662.0,False,,,,2025-10-29T16:22:26.987735
Kapama River Lodge,kapama-river-lodge,2025-11-04,2025-11-06,2,2,1,6,sold_out,42089.0,,21044.5,False,,,,2025-10-29T16:22:32.100261
